,batting_team,bowling_team,city,current_score,pp,balls_left,wickets_left,crr,Top_Order,Middle_Order,Lower_Order,Tail,Pressure,Aggression_Mode,last_five,Death_Overs,runs_x
21444,India,Australia,Durban,66,0,57,8,6.285714285714286,0,1,0,0,1,0,35.0,0,188
30841,Pakistan,Australia,Birmingham,87,0,53,6,7.791044776119403,0,0,1,0,0,0,43.0,0,167
41840,Sri Lanka,Australia,Melbourne,39,0,79,7,5.7073170731707314,0,1,0,0,1,0,30.0,0,161
44628,England,India,Birmingham,112,0,25,6,7.073684210526316,0,0,1,0,0,0,29.0,1,180
50100,Pakistan,Bangladesh,Mirpur,95,0,35,7,6.705882352941177,0,1,0,0,1,0,44.0,0,141
6855,Sri Lanka,India,Colombo,135,0,20,4,8.1,0,0,0,1,0,0,22.0,1,152
40557,Australia,England,Southampton,180,0,30,8,12.0,0,1,0,0,0,1,57.0,0,248
23927,India,Bangladesh,Nottingham,83,0,58,9,8.03225806451613,1,0,0,0,0,0,32.0,0,180
49746,South Africa,Bangladesh,Mirpur,132,0,19,7,7.841584158415841,0,1,0,0,0,0,28.0,1,169
45076,Afghanistan,Bangladesh,Mirpur,48,0,66,6,5.333333333333333,0,0,1,0,1,0,29.0,0,72
40866,Pakistan,South Africa,Centurion,69,0,76,9,9.409090909090908,1,0,0,0,0,1,52.0,0,195
2320,England,Australia,Melbourne,72,0,48,6,6.0,0,0,1,0,1,0,23.0,0,137
5957,India,South Africa,Centurion,142,0,22,6,8.693877551020408,0,0,1,0,0,1,49.0,1,188
27690,West Indies,Australia,Sydney,120,0,6,3,6.315789473684211,0,0,0,1,1,0,34.0,1,138
40982,England,New Zealand,Auckland,62,1,84,9,10.333333333333334,1,0,0,0,0,1,51.0,0,214
20070,South Africa,England,Cape Town,68,0,60,7,6.8,0,1,0,0,1,0,26.0,0,154
18548,Sri Lanka,New Zealand,Auckland,28,1,93,7,6.222222222222222,0,1,0,0,1,0,28.0,0,115
52047,Pakistan,New Zealand,Hamilton,55,0,65,8,6.0,0,1,0,0,1,0,26.0,0,168
1454,West Indies,India,Lauderhill,182,0,41,9,13.822784810126583,1,0,0,0,0,1,71.0,0,245
18876,West Indies,England,London,203,0,8,4,10.875,0,0,0,1,0,1,63.0,1,208
6652,Sri Lanka,Bangladesh,Colombo,58,1,91,9,12.0,1,0,0,0,0,1,57.0,0,214
15391,Pakistan,England,Manchester,165,0,17,7,9.611650485436893,0,1,0,0,0,1,53.0,1,195
41039,England,New Zealand,Auckland,171,0,28,7,11.152173913043478,0,1,0,0,0,1,60.0,1,214
48335,South Africa,West Indies,Durban,92,0,66,10,10.222222222222221,1,0,0,0,0,1,54.0,0,195
31645,Sri Lanka,India,Chandigarh,198,0,1,3,9.983193277310924,0,0,0,1,0,0,42.0,1,206
37946,Sri Lanka,England,Pallekele,114,0,32,7,7.7727272727272725,0,1,0,0,0,0,41.0,0,169
26653,England,South Africa,Johannesburg,93,0,56,7,8.71875,0,1,0,0,0,0,39.0,0,202
47920,South Africa,West Indies,Cape Town,48,0,73,8,6.127659574468085,0,1,0,0,1,0,26.0,0,165
41144,New Zealand,England,Hamilton,109,0,44,8,8.605263157894736,0,1,0,0,0,0,40.0,0,192
3722,Afghanistan,West Indies,St Kitts,74,0,16,2,4.269230769230769,0,0,0,1,1,0,21.0,1,110
3373,Bangladesh,Sri Lanka,Colombo,176,0,0,1,8.8,0,0,0,1,0,0,40.0,1,176
54229,India,Bangladesh,Bangalore,95,0,39,8,7.037037037037037,0,1,0,0,0,0,43.0,0,146
552,New Zealand,Bangladesh,Mount Maunganui,45,0,76,7,6.136363636363637,0,1,0,0,1,0,31.0,0,194
20439,Australia,Pakistan,Johannesburg,81,0,64,7,8.678571428571429,0,1,0,0,0,1,46.0,0,164
37720,Pakistan,India,Colombo,115,0,13,3,6.4485981308411215,0,0,0,1,1,0,23.0,1,128
48696,England,Australia,Cardiff,36,0,79,8,5.2682926829268295,0,1,0,0,1,0,26.0,0,182
37236,India,Australia,Colombo,140,0,0,3,7.0,0,0,0,1,1,0,39.0,1,140
55673,India,Bangladesh,Mirpur,44,0,70,7,5.28,0,1,0,0,1,0,27.0,0,166
55841,Pakistan,India,Mirpur,71,0,26,2,4.531914893617022,0,0,0,1,1,0,20.0,1,83
6658,Sri Lanka,Bangladesh,Colombo,66,1,86,9,11.647058823529411,1,0,0,0,0,1,51.0,0,214
33734,India,West Indies,Trinidad,159,0,0,4,7.884297520661157,0,0,0,1,0,1,68.0,1,159
39584,West Indies,New Zealand,Lauderhill,168,0,11,8,9.247706422018348,0,1,0,0,0,1,51.0,1,209
22144,New Zealand,South Africa,Johannesburg,45,0,79,7,6.585365853658536,0,1,0,0,1,0,37.0,0,129
49362,England,South Africa,Cape Town,96,0,29,4,6.329670329670329,0,0,0,1,1,0,21.0,1,134
34686,New Zealand,South Africa,Hamilton,108,0,37,8,7.807228915662651,0,1,0,0,0,0,34.0,0,173
38028,Pakistan,Australia,Colombo,40,0,73,8,5.1063829787234045,0,1,0,0,1,0,28.0,0,149
4925,India,England,Cardiff,40,0,73,7,5.1063829787234045,0,1,0,0,1,0,27.0,0,148
43683,Australia,India,Rajkot,123,0,56,7,11.53125,0,1,0,0,0,1,49.0,0,201
33402,Pakistan,South Africa,Abu Dhabi,46,0,79,8,6.7317073170731705,0,1,0,0,1,0,29.0,0,119
34803,South Africa,New Zealand,Auckland,121,0,42,6,9.307692307692308,0,0,1,0,0,1,58.0,0,165
45579,West Indies,India,Mirpur,61,0,47,9,5.013698630136986,1,0,0,0,1,0,23.0,0,129
18022,Australia,South Africa,Brisbane,197,0,2,7,10.016949152542374,0,1,0,0,0,1,57.0,1,209
24820,India,West Indies,London,71,0,45,6,5.68,0,0,1,0,1,0,24.0,0,153
32347,New Zealand,Sri Lanka,Lauderhill,78,0,36,5,5.571428571428571,0,0,1,0,1,0,27.0,0,120
35172,West Indies,England,London,59,0,38,7,4.317073170731708,0,1,0,0,1,0,17.0,0,113
10140,New Zealand,India,Hamilton,113,0,51,9,9.826086956521738,1,0,0,0,0,0,36.0,0,212
7056,Sri Lanka,Bangladesh,Colombo,53,0,60,5,5.3,0,0,1,0,1,0,22.0,0,159
9734,Bangladesh,West Indies,Dhaka,68,0,76,9,9.272727272727273,1,0,0,0,0,0,44.0,0,211
29218,England,South Africa,Barbados,69,0,77,9,9.627906976744185,1,0,0,0,0,1,46.0,0,168
